trp_player|Игрок
trp_player_pl|Игроки
trp_multiplayer_profile_troop_male|multiplayer profile troop male
trp_multiplayer_profile_troop_male_pl|multiplayer profile troop male
trp_multiplayer_profile_troop_female|multiplayer profile troop female
trp_multiplayer_profile_troop_female_pl|multiplayer profile troop female
trp_temp_troop|Temp Troop
trp_temp_troop_pl|Temp Troop
trp_british_infantry_ai|Британский линейный пехотинец
trp_british_infantry_ai_pl|Линейная пехота
trp_british_infantry2_ai|Немецкий линейный пехотинец
trp_british_infantry2_ai_pl|Немецкая линейная пехота
trp_british_highlander_ai|Шотландский горец
trp_british_highlander_ai_pl|Шотландские горцы
trp_british_foot_guard_ai|Британский пеший гвардеец
trp_british_foot_guard_ai_pl|Пешая Гвардия
trp_british_light_infantry_ai|Британский легкий пехотинец
trp_british_light_infantry_ai_pl|Легкая пехота
trp_british_rifle_ai|Британский стрелок
trp_british_rifle_ai_pl|Стрелки
trp_british_hussar_ai|British Hussar
trp_british_hussar_ai_pl|Hussars
trp_british_light_dragoon_ai|Британский легкий драгун
trp_british_light_dragoon_ai_pl|Легкие драгуны
trp_british_dragoon_ai|Британский драгун
trp_british_dragoon_ai_pl|Драгуны
trp_british_horseguard_ai|Британский конный гвардеец
trp_british_horseguard_ai_pl|Конная гвардия
trp_british_ship_ai|британской мореход
trp_british_ship_ai_pl|Моряки
trp_british_ship_marine_ai|британской морской
trp_british_ship_marine_ai_pl|морская пехота
trp_british_arty_ai|Британский артиллерист
trp_british_arty_ai_pl|Артиллерия(Пушка)
trp_british_arty_alt_ai|Британский артиллерист
trp_british_arty_alt_ai_pl|Артиллерия(Гаубица)
trp_british_rocket_ai|Британский ракетчик
trp_british_rocket_ai_pl|Ракетная артиллерия
trp_french_infantry_ai|Французский фузилер
trp_french_infantry_ai_pl|Фузилеры
trp_french_infantry2_ai|Французский гренадер
trp_french_infantry2_ai_pl|Гренадеры
trp_french_infantry_vistula_ai|Польский линейный пехотинец
trp_french_infantry_vistula_ai_pl|Польская линейная пехота
trp_french_old_guard_ai|Французский гвардейский гренадер
trp_french_old_guard_ai_pl|Гвардейские гренадеры
trp_french_voltigeur_ai|Французский вольтижер
trp_french_voltigeur_ai_pl|Вольтижеры
trp_french_hussar_ai|Французский гусар
trp_french_hussar_ai_pl|Гусары
trp_french_lancer_ai|Польский гвардейский улан
trp_french_lancer_ai_pl|Польские гвардейские уланы
trp_french_dragoon_ai|Французский гвардейский драгун
trp_french_dragoon_ai_pl|Гвардейские драгуны
trp_french_cuirassier_ai|Французский кирасир
trp_french_cuirassier_ai_pl|Кирасиры
trp_french_carabineer_ai|Французский карабинер
trp_french_carabineer_ai_pl|Карабинеры
trp_french_grenadier_a_cheval_ai|Французский конный гренадер
trp_french_grenadier_a_cheval_ai_pl|Конные гренадеры
trp_french_ship_ai|Французская Sailor
trp_french_ship_ai_pl|Моряки
trp_french_ship_marine_ai|французский морской
trp_french_ship_marine_ai_pl|морская пехота
trp_french_arty_ai|Французский артиллерист
trp_french_arty_ai_pl|Артиллерия (Пушка)
trp_french_arty_alt_ai|Французсктй артиллерист
trp_french_arty_alt_ai_pl|Артиллерия(Гаубица)
trp_prussian_infantry_ai|Прусский линейный пехотинец
trp_prussian_infantry_ai_pl|Бранденбуржская линейная пехота
trp_prussian_infantry2_ai|Прусский резервный пехотинец
trp_prussian_infantry2_ai_pl|Рейнская резервная пехота
trp_prussian_infantry_kurmark_ai|Солдат прусского ландвера
trp_prussian_infantry_kurmark_ai_pl|Ландвер
trp_prussian_infantry_freikorps_ai|Солдат вольного корпуса
trp_prussian_infantry_freikorps_ai_pl|Вольный корпус Лютцова
trp_prussian_infantry_15_ai|Прусский пеший гвардеец
trp_prussian_infantry_15_ai_pl|Пешая гвардия
trp_prussian_infantry_rifle_ai|Прусский егерь
trp_prussian_infantry_rifle_ai_pl|Егеря
trp_prussian_dragoon_ai|Прусский драгун
trp_prussian_dragoon_ai_pl|Драгуны
trp_prussian_hussar_ai|Прусский гвардейский гусар
trp_prussian_hussar_ai_pl|Гусары
trp_prussian_landwehr_cav_ai|Кавалерист прусского конного ландвера
trp_prussian_landwehr_cav_ai_pl|Конный ландвер
trp_prussian_cuirassier_ai|Прусский кирасир
trp_prussian_cuirassier_ai_pl|Кирасиры
trp_prussian_arty_ai|Прусский артиллерист
trp_prussian_arty_ai_pl|Артиллерия(Пушка)
trp_prussian_arty_alt_ai|Прусский артиллерист
trp_prussian_arty_alt_ai_pl|Артиллерия(Гаубица)
trp_russian_partizan_ai|Русский партизан
trp_russian_partizan_ai_pl|Партизаны
trp_russian_opol_ai|Русский ополченец
trp_russian_opol_ai_pl|Ополчение
trp_russian_infantry_ai|Русский линейный пехотинец
trp_russian_infantry_ai_pl|Линейная пехота
trp_russian_grenadier_ai|Русский гренадер
trp_russian_grenadier_ai_pl|Гренадеры
trp_russian_foot_guard_ai|Русский пеший гвардеец
trp_russian_foot_guard_ai_pl|Гвардейская пехота
trp_russian_infantry_rifle_ai|Русский егерь
trp_russian_infantry_rifle_ai_pl|Егеря
trp_russian_hussar_ai|Украинский гусар
trp_russian_hussar_ai_pl|Гусары
trp_russian_uhlan_ai|Русский Улан
trp_russian_uhlan_ai_pl|Улан
trp_russian_cossack_ai|Русский казак
trp_russian_cossack_ai_pl|Казаки
trp_russian_dragoon_ai|Украинский драгун
