trp_player|Oyuncu
trp_player_pl|Oyuncu
trp_multiplayer_profile_troop_male|multiplayer profile troop male
trp_multiplayer_profile_troop_male_pl|multiplayer profile troop male
trp_multiplayer_profile_troop_female|multiplayer profile troop female
trp_multiplayer_profile_troop_female_pl|multiplayer profile troop female
trp_temp_troop|Temp Troop
trp_temp_troop_pl|Temp Troop
trp_british_infantry_ai|İngiliz Piyadesi
trp_british_infantry_ai_pl|Piyade
trp_british_infantry2_ai|Alman Piyadesi
trp_british_infantry2_ai_pl|Alman Piyadesi
trp_british_highlander_ai|Britanya İskoç Piyadesi
trp_british_highlander_ai_pl|İskoç Piyadesi
trp_british_foot_guard_ai|İngiliz Muhafız Piyadesi
trp_british_foot_guard_ai_pl|Muhafız Piyadesi
trp_british_light_infantry_ai|İngiliz Hafif Piyadesi
trp_british_light_infantry_ai_pl|Hafif Piyade
trp_british_rifle_ai|İngiliz Tüfekli Piyade
trp_british_rifle_ai_pl|Tüfekli Piyade
trp_british_hussar_ai|İngiliz Hussar
trp_british_hussar_ai_pl|süvariler
trp_british_light_dragoon_ai|İngiliz Hafif Dragun
trp_british_light_dragoon_ai_pl|Hafif Dragun
trp_british_dragoon_ai|İngiliz Dragun
trp_british_dragoon_ai_pl|İngiliz Dragunları
trp_british_horseguard_ai|İngiliz Atlı Muhafızı
trp_british_horseguard_ai_pl|Atlı Muhafız
trp_british_ship_ai|İngiliz Denizci
trp_british_ship_ai_pl|Denizciler
trp_british_ship_marine_ai|İngiliz Deniz
trp_british_ship_marine_ai_pl|Deniz
trp_british_arty_ai|İngiliz Topçu Piyadesi
trp_british_arty_ai_pl|Topçu Birliği (Top)
trp_british_arty_alt_ai|İngiliz Topçu Piyadesi
trp_british_arty_alt_ai_pl|Topçu Birliği (Havan Topu)
trp_british_rocket_ai|İngiliz Roketçisi
trp_british_rocket_ai_pl|Roket Topçusu
trp_french_infantry_ai|Fransız Piyadesi
trp_french_infantry_ai_pl|Piyade
trp_french_infantry2_ai|Fransız Ağır Piyadesi
trp_french_infantry2_ai_pl|Ağır Piyade
