122
qstr_Careful... Careful...
qstr_{reg3} {reg3}
qstr_0 0
qstr__{s5}__{s6}_ ({s5},__{s6})
qstr___{reg43}__ (_{reg43}_)
qstr_Action Action
qstr_Mount Mount
qstr_Attack_Type Attack_Type
qstr_Stand_Ground Stand_Ground
qstr_Charge Charge
qstr_Follow_Me Follow_Me
qstr_Hold_This_Position Hold_This_Position
qstr_Spread_Out Spread_Out
qstr_Stand_Closer Stand_Closer
qstr_Fall_Back Fall_Back
qstr_Advance Advance
qstr_Dismount Dismount
qstr_Fire_At_Will Fire_At_Will
qstr_Hold_Your_Fire Hold_Your_Fire
qstr_Use_Blunt_Weapons Use_Blunt_Weapons
qstr_Use_Any_Weapon Use_Any_Weapon
qstr_Ready Ready
qstr_Wounded Wounded
qstr_Dead Dead
qstr_F4___Movement_Orders F4_-_Movement_Orders^F5_-_Formation_Orders^F6_-_Fire_Orders
qstr_F4___Hold_this_posit F4_-_Hold_this_position^F5_-_Follow_me^F6_-_Charge^F7_-_Advance^F8_-_Halt^F9_-_Fall_back^F10_-_Retreat^F11_-_Slow_march^F12_-_Quick_march
qstr_F4___Form_line^F5___ F4_-_Form_line^F5_-_Form_column^F6_-_Form_square^F7_-_Skirmish_formation^F8_-_Wheel_left^F9_-_Wheel_right^F10_-_Adjust_facing
qstr_F4___Hold_fire^F5___ F4_-_Hold_fire^F5_-_Fire_at_will^F6_-_Volley_fire^F7_-_Fire_at_position^F8_-_Pick_your_targets
qstr_0000 00,00
qstr_Vienna Vienna
qstr_Austerlitz Austerlitz
qstr_Drezden Drezden
qstr_Quit Quit
qstr_Go_to_the_Camp Go_to_the_Camp
qstr_Continue_Campaign Continue_Campaign
qstr_{reg21}{reg22} {reg21},{reg22}
qstr_Back Back
qstr_Visit_the_camp Visit_the_camp
qstr_Companions Companions
qstr_Merchants Merchants
qstr_Skip Skip
qstr_Available_companions Available_companions
qstr_Selected_companions Selected_companions
qstr_Start_Mission Start_Mission
qstr_Choose_a_companion Choose_a_companion
qstr_Battle_Results Battle_Results
qstr_Count Count
qstr_Money Money
qstr_Enemies_killed: Enemies_killed:
qstr_{reg1} {reg1}
qstr_Personal_kills: Personal_kills:
qstr_Allies_lost: Allies_lost:
qstr__{reg1} -{reg1}
qstr_Companions_lost: Companions_lost:
qstr_Totals: Totals:
qstr_Retry Retry
qstr_Done Done
qstr_* *
qstr_{s0}__{reg0}_ {s0}_({reg0})
qstr_o o
qstr_Open_ze_Treasure Open_ze_Treasure
qstr_View_Caimpaign_Map View_Caimpaign_Map
qstr_Use Use
qstr_Use_Prop Use_Prop
qstr_Unknown_command_issu Unknown_command_issued!
qstr_{s7}_opened_the_gate {s7}_opened_the_gate
qstr_{s7}_closed_the_gate {s7}_closed_the_gate
qstr_Server_received_mess Server_received_message_:_unmute_player_unique_{reg0}
qstr_Centre_Inf Centre_Inf
qstr_Lflank_Inf Lflank_Inf
qstr_Rflank_Inf Rflank_Inf
qstr_Centre_Cav Centre_Cav
qstr_Lflank_Cav Lflank_Cav
qstr_Rflank_Cav Rflank_Cav
qstr_Holding Holding
qstr_Following Following
qstr_Charging Charging
qstr_Advancing Advancing
qstr_Falling_Back Falling_Back
qstr_Standing_Closer Standing_Closer
qstr_Spreading_Out Spreading_Out
qstr_Standing Standing
qstr_N/A N/A
qstr_Free Free
qstr_Any_Weapon Any_Weapon
qstr_Blunt_Weapons Blunt_Weapons
qstr_{!}{reg10} {!}{reg10}
qstr_{!}{reg11} {!}{reg11}
qstr_{!}{reg12} {!}{reg12}
qstr_[SERVER]:_{s4} [SERVER]:_{s4}
qstr_vFloraWindStrength vFloraWindStrength
qstr_vWaterWindStrength vWaterWindStrength
qstr_THISISAPLACEHOLDERST THISISAPLACEHOLDERSTRING
qstr_{s32}_hold_this_posi {s32},_hold_this_position!
qstr_{s32}_follow_me! {s32},_follow_me!
qstr_{s32}_charge! {s32},_charge!
qstr_{s32}_advance! {s32},_advance!
qstr_{s32}_halt! {s32},_halt!
qstr_{s32}_fall_back! {s32},_fall_back!
qstr_{s32}_retreat! {s32},_retreat!
qstr_{s32}_slow_pace! {s32},_slow_pace!
qstr_{s32}_quick_pace! {s32},_quick_pace!
qstr_{s32}_form_line! {s32},_form_line!
qstr_{s32}_form_column! {s32},_form_column!
qstr_{s32}_form_square! {s32},_form_square!
qstr_{s32}_skirmish_order {s32},_skirmish_order!
qstr_{s32}_wheel_left! {s32},_wheel_left!
qstr_{s32}_wheel_right! {s32},_wheel_right!
qstr_{s32}_adjust_formati {s32},_adjust_formation!
qstr_Server_removing_play Server_removing_player_{reg0}
qstr_L L
qstr_R R
qstr_C C
qstr_A A
qstr_s s
qstr_ERR:_Incompatible_ve ERR:_Incompatible_version.
qstr_{s0}{s1} {s0}{s1}
qstr_{s1};{s2};{s3} {s1};{s2};{s3}
qstr_Leave? Leave?
qstr_All_players_have_bee All_players_have_been_muted.
qstr_SERVER SERVER
qstr_Desactivation_de_uni Desactivation_de_unit_{reg0}
